Sales Enquiry as of 05/26/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,18,309.6
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,4,65.96
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Black Straws,Consumables,Completed,1,0
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Rose,Raw Material,Completed,1,7.3
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Receipt rolls,Cafe Supply,Completed,1,5.75
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Custom 4 Cup Carrier Bag,Consumables,Completed,1,0
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Paper 4 Cup Carrier Bag - Tamper Resistant,Consumables,Completed,1,0
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,6,192
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Mocha,Raw Material,Completed,1,22.87
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,2,480
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,2,70.5
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Ice Cups,Consumables,Completed,2,0
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,20,506
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Dish Detergent,Cafe Supply,Completed,2,0
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Decaf Beans,Raw Material,Completed,1,25.3
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Cinnamon Powder,Raw Material,Completed,1,0
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Caramel,Raw Material,Completed,1,22.9
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Beverage Napkin,Cafe Supply,Completed,1,17.59
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,4 Cup Carrier,Cafe Supply,Completed,1,8.88
SO-00000377,5/25/2026,5/25/2026,5/26/2026,Warehouse,Gardena,General,2 Cup Carrier,Consumables,Completed,1,0
SO-00000376,5/25/2026,5/25/2026,5/26/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,23,103.5
SO-00000376,5/25/2026,5/25/2026,5/26/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,14,240.8
SO-00000376,5/25/2026,5/25/2026,5/26/2026,Warehouse,KTOWN,General,Ube Condensed Milk,Raw Material,Completed,1,0
