Sales Enquiry as of 03/30/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000221,03/28/2026,03/28/2026,03/29/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,9,227.70
SO-00000221,03/28/2026,03/28/2026,03/29/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,2,64.00
SO-00000221,03/28/2026,03/28/2026,03/29/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,23,103.50
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,15,258.00
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Toilet Paper,Cafe Supply,Completed,10,5.50
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,5,160.00
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Honey,Raw Material,Completed,1,0.00
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.60
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Decaf Beans,Raw Material,Completed,1,25.30
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,4,65.96
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000220,03/28/2026,03/28/2026,03/29/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.50
,,,,,,,,,Totals,269,"5,842.55"
