Sales Enquiry as of 03/27/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000216,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,10,45
SO-00000216,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000216,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,2,32.98
SO-00000216,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,12,206.4
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Paper 2 Cup Carrier Bag,Consumables,Completed,1,0
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,4,128
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.6
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Bleach,Cafe Supply,Completed,1,6.89
SO-00000215,3/26/2026,3/26/2026,3/26/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,23,103.5
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,11,189.2
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,2,18.84
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Black Straws,Consumables,Completed,1,0
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.3
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Nitrile Gloves,Cafe Supply,Completed,1,39.9
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.6
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Caramel,Raw Material,Completed,1,22.9
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,2,64
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000214,3/26/2026,3/26/2026,3/26/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.5
,,,,,,,,,Totals,114,"2,236.60"
