Sales Enquiry as of 04/02/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000231,04/01/2026,04/01/2026,04/01/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,2,9.00
SO-00000231,04/01/2026,04/01/2026,04/01/2026,Warehouse,Gardena,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000231,04/01/2026,04/01/2026,04/01/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,24,108.00
SO-00000231,04/01/2026,04/01/2026,04/01/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,4,65.96
SO-00000231,04/01/2026,04/01/2026,04/01/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,15,258.00
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,22,99.00
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,12,206.40
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Sugar Tub,Raw Material,Completed,1,0.00
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.30
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Paper Towel,Cafe Supply,Completed,1,23.90
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Lavender,Raw Material,Completed,1,7.30
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Honey,Raw Material,Completed,2,0.00
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,16,404.80
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Decaf Beans,Raw Material,Completed,1,25.30
SO-00000230,04/01/2026,04/01/2026,04/01/2026,Warehouse,KTOWN,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
