Sales Enquiry as of 04/10/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000253,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,18,309.60
SO-00000253,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,3,49.47
SO-00000253,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,1,4.50
SO-00000253,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,20,90.00
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Toilet Solution,Cafe Supply,Completed,1,6.62
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,3,0.00
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,4,128.00
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.90
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253.00
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Decaf Beans,Raw Material,Completed,1,25.30
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000252,04/09/2026,04/09/2026,04/09/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Wooden Stir Stick,Consumables,Completed,1,2.98
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,22,99.00
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,14,240.80
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,3,28.26
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,3,0.00
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.30
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.90
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,15,379.50
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,2,84.28
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Caramel,Raw Material,Completed,1,22.90
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Beverage Napkin,Cafe Supply,Completed,1,17.59
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,5,82.45
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000251,04/09/2026,04/09/2026,04/09/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
,,,,,,,,,Totals,147,"2,655.73"
