Sales Enquiry as of 05/13/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000341,05/12/2026,05/12/2026,05/12/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,1,4.50
SO-00000341,05/12/2026,05/12/2026,05/12/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,13,58.50
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,18,81.00
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,13,223.60
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,2,18.84
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Black Straws,Consumables,Completed,1,0.00
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Passionfruit Puree,Premades,Completed,1,22.56
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,2,64.00
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Nitrile Gloves,Cafe Supply,Completed,1,39.90
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Musco Syrup,Premades,Completed,1,0.00
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,2,480.00
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000340,05/12/2026,05/12/2026,05/12/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.90
