Sales Enquiry as of 05/27/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000381,5/26/2026,5/26/2026,5/26/2026,Gardena,Gardena,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000381,5/26/2026,5/26/2026,5/26/2026,Gardena,Gardena,General,Half & Half,Raw Material,Completed,2,7.98
SO-00000381,5/26/2026,5/26/2026,5/26/2026,Gardena,Gardena,General,Whole Milk,Raw Material,Completed,15,67.5
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,16,72
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,12,206.4
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,1,9.42
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Tea Bag,Consumables,Completed,1,0
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,4,0
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Custom 4 Cup Carrier Bag,Consumables,Completed,1,0
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,5,160
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Ice Cups,Consumables,Completed,1,0
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,9,227.7
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Dish Detergent,Cafe Supply,Completed,2,0
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Caramel,Raw Material,Completed,1,22.9
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,2,64
SO-00000380,5/26/2026,5/26/2026,5/26/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,2,9
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,2,32.98
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,14,240.8
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,3,0
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Receipt rolls,Cafe Supply,Completed,1,5.75
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,3,96
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Ice Cups,Consumables,Completed,1,0
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Dish Detergent,Cafe Supply,Completed,2,0
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.6
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000379,5/26/2026,5/26/2026,5/26/2026,Warehouse,Gardena,General,2 Cup Carrier,Consumables,Completed,1,0
,,,,,,,,,Totals,152,"2,183.85"
