Sales Enquiry as of 05/29/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000387,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,3,13.50
SO-00000387,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,25,112.50
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Custom 4 Cup Carrier Bag,Consumables,Completed,1,0.00
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,4 Cup Carrier,Cafe Supply,Completed,1,8.88
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.50
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,4,0.00
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,1,42.14
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,2,18.84
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,2,32.98
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,10,172.00
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.60
SO-00000386,05/28/2026,05/28/2026,05/29/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,20,90.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,3,49.47
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,14,240.80
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Condensed Milk,Raw Material,Completed,1,34.58
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Black Straws,Consumables,Completed,1,0.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Dulce,Raw Material,Completed,1,22.90
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Paper 4 Cup Carrier Bag - Tamper Resistant,Consumables,Completed,1,0.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Ice Cups,Consumables,Completed,1,0.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,4 Cup Carrier,Cafe Supply,Completed,2,17.76
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,4,0.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Paper 2 Cup Carrier Bag,Consumables,Completed,1,0.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160.00
SO-00000385,05/28/2026,05/28/2026,05/29/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,18,455.40
SO-00000384,05/27/2026,05/27/2026,05/27/2026,Gardena,Gardena,General,2% Milk,Raw Material,Completed,2,9.00
SO-00000384,05/27/2026,05/27/2026,05/27/2026,Gardena,Gardena,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000384,05/27/2026,05/27/2026,05/27/2026,Gardena,Gardena,General,Whole Milk,Raw Material,Completed,22,99.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,14,240.80
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,5,82.45
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Black Straws,Consumables,Completed,1,0.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,3,0.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Paper 2 Cup Carrier Bag,Consumables,Completed,2,0.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,4,128.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,2,480.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Ice Cups,Consumables,Completed,1,0.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Dish Detergent,Cafe Supply,Completed,1,0.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Decaf Beans,Raw Material,Completed,1,25.30
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.60
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32.00
SO-00000383,05/27/2026,05/27/2026,05/27/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,20,90.00
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,11,189.20
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.30
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Custom 4 Cup Carrier Bag,Consumables,Completed,1,0.00
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Lavender,Raw Material,Completed,1,7.30
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Ice Cups,Consumables,Completed,1,0.00
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Honey,Raw Material,Completed,1,0.00
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,13,328.90
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Dulce,Raw Material,Completed,1,22.90
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,2,84.28
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.60
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,2,64.00
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000382,05/27/2026,05/27/2026,05/27/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.50
,,,,,,,,,Totals,291,"5,466.54"
