Sales Enquiry as of 03/26/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000213,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,1,4.50
SO-00000213,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,27,121.50
SO-00000213,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,4,65.96
SO-00000213,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,15,258.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Ube Condensed Milk,Raw Material,Completed,1,0.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Black Straws,Consumables,Completed,1,0.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Rose,Raw Material,Completed,2,14.60
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Paper Towel,Cafe Supply,Completed,1,23.90
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Paper 2 Cup Carrier Bag,Consumables,Completed,1,0.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,4,960.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Lavender,Raw Material,Completed,1,7.30
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.90
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Honey,Raw Material,Completed,1,0.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Caramel,Raw Material,Completed,1,22.90
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Bleach,Cafe Supply,Completed,1,6.89
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,3,96.00
SO-00000212,03/25/2026,03/25/2026,03/25/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,21,94.50
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,11,189.20
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,5,0.00
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Receipt rolls,Cafe Supply,Completed,2,11.50
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,4,128.00
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,2,18.42
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Lavender,Raw Material,Completed,1,7.30
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.90
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Honey,Raw Material,Completed,1,0.00
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,11,278.30
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,1,42.14
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000211,03/25/2026,03/25/2026,03/25/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.50
,,,,,,,,,Totals,151,"3,467.66"
