Sales Enquiry as of 06/02/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000399,06/01/2026,06/01/2026,06/02/2026,Gardena,Gardena,General,Whole Milk,Raw Material,Completed,17,76.50
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,2,32.98
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,15,258.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Splenda,Consumables,Completed,1,0.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,8,0.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Rose,Raw Material,Completed,1,7.30
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Rinza,Cafe Supply,Completed,1,18.26
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Receipt rolls,Cafe Supply,Completed,1,5.75
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Custom 4 Cup Carrier Bag,Consumables,Completed,1,0.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Paper 4 Cup Carrier Bag - Tamper Resistant,Consumables,Completed,1,0.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Paper 2 Cup Carrier Bag,Consumables,Completed,2,0.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Mocha,Raw Material,Completed,1,22.87
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Lid Plug,Consumables,Completed,2,30.84
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Ice Cups,Consumables,Completed,1,0.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Dish Detergent,Cafe Supply,Completed,1,0.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.60
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Black Trash Bag,Cafe Supply,Completed,1,27.40
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Beverage Napkin,Cafe Supply,Completed,1,17.59
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,2,64.00
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000398,06/01/2026,06/01/2026,06/02/2026,Warehouse,Gardena,General,4 Cup Carrier,Cafe Supply,Completed,4,35.52
