Sales Enquiry as of 03/25/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,4,65.96
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,14,240.80
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Receipt rolls,Cafe Supply,Completed,2,11.50
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,M1200 Matcha,Raw Material,Completed,2,480.00
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Lid Plug,Consumables,Completed,2,30.84
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Ice Cups,Consumables,Completed,1,0.00
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,20,506.00
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.60
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000209,03/24/2026,03/24/2026,03/24/2026,Warehouse,Gardena,General,Cup Carriers,Cafe Supply,Completed,4,35.52
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,12,206.40
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Ube Condensed Milk,Raw Material,Completed,1,0.00
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,5,0.00
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96.00
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,M1200 Matcha,Raw Material,Completed,1,240.00
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Ice Cups,Consumables,Completed,1,0.00
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Hand Soap,Cafe Supply,Completed,1,6.96
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,9,227.70
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Condensed Milk,Raw Material,Completed,1,34.58
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,4,65.96
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,14,63.00
SO-00000208,03/24/2026,03/24/2026,03/24/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,2,9.00
SO-00000207,03/23/2026,03/23/2026,03/23/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,21,94.50
SO-00000207,03/23/2026,03/23/2026,03/23/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,11,189.20
